J1,J2,J3,J4,J5,J6,J7,J8,B4_px,B4_py,B4_pz,B4_r,B4_p,B4_y,B8_px,B8_py,B8_pz,B8_r,B8_p,B8_y
-8.1555e-05,0,0,0,0,0,0,0,0.556,0.0281,0.10904,-1.5708,6.1227e-17,-1.5707,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-0.024356,0,0,0,0,0,0,0,0.55584,0.0281,0.12242,-1.5708,5.9741e-17,-1.5464,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-0.58267,0,0,0,0,0,0,0,0.4651,0.0281,0.41213,-1.5708,2.7539e-17,-0.98813,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-0.60694,0,0,0,0,0,0,0,0.45761,0.0281,0.42321,-1.5708,2.6308e-17,-0.96385,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-0.69595,0,0,0,0,0,0,0,0.42789,0.0281,0.46219,-1.5708,2.1976e-17,-0.87485,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-0.71213,0,0,0,0,0,0,0,0.42212,0.0281,0.46898,-1.5708,2.122e-17,-0.85867,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-0.67976,0,0,0,0,0,0,0,0.43355,0.0281,0.4553,-1.5708,2.2741e-17,-0.89103,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-0.46939,0,0,0,0,0,0,0,0.49642,0.0281,0.35819,-1.5708,3.3535e-17,-1.1014,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-0.44511,0,0,0,0,0,0,0,0.50232,0.0281,0.34619,-1.5708,3.4868e-17,-1.1257,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-0.21855,0,0,0,0,0,0,0,0.5429,0.0281,0.22844,-1.5708,4.7956e-17,-1.3522,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-0.072905,0,0,0,0,0,0,0,0.55454,0.0281,0.14913,-1.5708,5.6772e-17,-1.4979,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
0.18602,0,0,0,0,0,0,0,0.5465,0.0281,0.0071101,-1.5708,7.2557e-17,-1.7568,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.7317,0,0,0,0,0,0,0,-0.083135,0.0281,0.65279,-1.5708,7.905e-19,0.16086,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.7397,0,0,0,0,0,0,0,-0.087532,0.0281,0.65206,-1.5708,8.7183e-19,0.16895,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.7236,0,0,0,0,0,0,0,-0.078733,0.0281,0.65348,-1.5708,7.1313e-19,0.15277,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.4889,0,0,0,0,0,0,0,0.05016,0.0281,0.65805,-1.5708,2.0517e-19,-0.081885,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.497,0,0,0,0,0,0,0,0.045716,0.0281,0.6584,-1.5708,1.6665e-19,-0.073794,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.497,0,0,0,0,0,0,0,0.045716,0.0281,0.6584,-1.5708,1.6665e-19,-0.073794,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.5213,0,0,0,0,0,0,0,0.032369,0.0281,0.65922,-1.5708,7.5062e-20,-0.04952,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.5213,-8.1555e-05,0,0,0,0,0,0,0.032369,0.028058,0.65923,-1.5708,8.1455e-05,-0.04952,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.5213,-0.032447,0,0,0,0,0,0,0.032392,0.011219,0.65969,-1.5724,0.032407,-0.049546,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.5213,-0.8335,0,0,0,0,0,0,0.02477,-0.36432,0.50588,-1.6252,0.83215,-0.073586,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.5213,-1.0358,0,0,0,0,0,0,0.020724,-0.43041,0.42425,-1.6541,1.0337,-0.096902,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.5213,-1.2219,0,0,0,0,0,0,0.01649,-0.47557,0.33882,-1.706,1.2185,-0.14397,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.5213,-1.2381,0,0,0,0,0,0,0.016103,-0.47873,0.33102,-1.7131,1.2345,-0.15059,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.5213,-0.99533,0,0,0,0,0,0,0.021585,-0.41854,0.44162,-1.647,0.99345,-0.090816,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.5213,-0.65549,0,0,0,0,0,0,0.027723,-0.29359,0.56547,-1.6088,0.65455,-0.062436,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.5213,-0.6474,0,0,0,0,0,0,0.027842,-0.29013,0.56787,-1.6082,0.64647,-0.062053,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.5213,-0.65549,0,0,0,0,0,0,0.027723,-0.29359,0.56547,-1.6088,0.65455,-0.062436,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.5213,-0.65549,0.62832,0,0,0,0,0,0.17262,-0.26449,0.52039,-1.6088,0.65455,-0.69075,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.5213,-0.65549,0.62832,-8.1555e-05,0,0,0,0,0.17262,-0.26449,0.52039,-1.6089,0.6545,-0.6908,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.5213,-0.65549,0.62832,-8.1555e-05,0,0,0,0,0.17262,-0.26449,0.52039,-1.6089,0.6545,-0.6908,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.5213,-0.65549,0.62832,-0.84969,0,0,0,0,0.17262,-0.26449,0.52039,-2.2264,0.022321,-0.91269,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.5213,-0.65549,0.62832,-1.0358,0,0,0,0,0.17262,-0.26449,0.52039,-2.3407,-0.12474,-0.90682,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.5213,-0.65549,0.62832,-1.0277,0,0,0,0,0.17262,-0.26449,0.52039,-2.3357,-0.11837,-0.90743,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.5213,-0.65549,0.62832,-0.93869,0,0,0,0,0.17262,-0.26449,0.52039,-2.2809,-0.048094,-0.91199,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.5213,-0.65549,0.62832,-0.50175,0,0,0,0,0.17262,-0.26449,0.52039,-2.0067,0.29492,-0.87752,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.5213,-0.65549,0.62832,-0.32374,0,0,0,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.5213,-0.65549,0.62832,-0.32374,-0.0041263,0,0,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.9058,0.106,0.10673,1.5708,6.1485e-17,1.5749
-1.5213,-0.65549,0.62832,-0.32374,-0.27924,0,0,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.88446,0.106,-0.04284,1.5708,7.8109e-17,1.85
-1.5213,-0.65549,0.62832,-0.32374,-0.72427,0,0,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.76752,0.106,-0.25602,1.5708,1.018e-16,2.2951
