Joint1_rad,Joint2_rad,Joint3_rad,Joint4_rad,Calc_X_m,Calc_Y_m,Calc_Z_m,Actual_X_m,Actual_Y_m,Actual_Z_m,Error_X_m,Error_Y_m,Error_Z_m,Total_Pos_Error_m
0.0057951,0,0,0,0.570990497664678,0.0281,0.105720571265682,0.55599,0.0281,0.10581,0.0150004976646776,2.08166817117217e-17,-8.94287343182892e-05,0.0150007642367487
-0.13526,0,0,0,0.565831241564671,0.0281,0.185310449699516,0.55097,0.0281,0.18329,0.0148612415646713,1.04083408558608e-17,0.00202044969951584,0.0149979571219479
-0.4056,0,0,0,0.525086167812637,0.0281,0.332287248367496,0.5113,0.0281,0.32637,0.0137861678126371,3.46944695195361e-18,0.00591724836749619,0.0150024081800499
-0.49964,0,0,0,0.501821610078846,0.0281,0.380128110089454,0.48866,0.0281,0.37294,0.0131616100788459,-3.46944695195361e-18,0.00718811008945391,0.0149965631571266
-0.71122,0,0,0,0.43380664162423,0.0281,0.478396027898615,0.42244,0.0281,0.4686,0.0113666416242299,-6.93889390390723e-18,0.00979602789861467,0.0150054225000202
-0.76999,0,0,0,0.411369587341835,0.0281,0.502938868863045,0.4006,0.0281,0.4925,0.0107695873418349,-1.04083408558608e-17,0.0104388688630448,0.0149984664100453
-0.76999,0,0,0,0.411369587341835,0.0281,0.502938868863045,0.4006,0.0281,0.4925,0.0107695873418349,-1.04083408558608e-17,0.0104388688630448,0.0149984664100453
-0.76999,-0.035346,0,0,0.411708126730613,0.00917958628926789,0.503267133217641,0.40095,0.0097099,0.49283,0.0107581267306131,-0.000530313710732111,0.0104371332176411,0.0149984090218433
-0.76999,-0.27043,0,0,0.401783193964382,-0.115651661552941,0.493643432824382,0.39141,-0.11164,0.48358,0.0103731939643818,-0.00401166155294089,0.0100634328243818,0.0149989753532992
-0.76999,-0.65832,0,0,0.34111783024244,-0.303971725947201,0.434819328071301,0.3326,-0.2948,0.42656,0.00851783024244002,-0.00917172594720073,0.00825932807130114,0.0149963491916854
-0.76999,-0.84639,0,0,0.294072201978812,-0.380248388115463,0.389201585172099,0.28694,-0.36901,0.38228,0.00713220197881215,-0.0112383881154633,0.00692158517209868,0.0150026002344585
-0.76999,-0.85814,0,0,0.290801554451704,-0.384588142547607,0.386030205311477,0.28376,-0.37324,0.3792,0.00704155445170351,-0.0113481425476068,0.00683020531147732,0.0150005177568657
-0.76999,-0.85814,0,0,0.290801554451704,-0.384588142547607,0.386030205311477,0.28376,-0.37324,0.3792,0.00704155445170351,-0.0113481425476068,0.00683020531147732,0.0150005177568657
-0.76999,-0.6113,0,0,0.351207049760073,-0.283082917981774,0.444602328936544,0.34239,-0.27448,0.43605,0.00881704976007253,-0.00860291798177437,0.00855232893654417,0.0149964293920781
-0.76999,-0.6113,-0.017714,0,0.347915006909631,-0.283059056432688,0.447948508223792,0.33928,-0.27445,0.43921,0.00863500690963115,-0.00860905643268767,0.00873850822379202,0.0150013573708468
-0.76999,-0.6113,-0.17052,0,0.317643232535064,-0.280877074116827,0.474695495800765,0.31073,-0.27239,0.46444,0.00691323253506415,-0.00848707411682686,0.010255495800765,0.0149999468421688
-0.76999,-0.6113,-1.1109,0,0.0992558057609726,-0.198497679027327,0.531068761974902,0.10471,-0.19468,0.51762,-0.00545419423902738,-0.00381767902732694,0.0134487619749017,0.0150064021874097
-0.76999,-0.6113,-1.6751,0,-0.00427956150023306,-0.115155782858349,0.467022171245148,0.0070294,-0.11606,0.45721,-0.0113089615002331,0.000904217141651481,0.00981217124514822,0.0149996307753599
-0.76999,-0.6113,0.24088,0,0.390716616234263,-0.278691778320326,0.394855717041028,0.37966,-0.27033,0.38912,0.0110566162342626,-0.00836177832032597,0.00573571704102765,0.0150022181428203
-0.76999,-0.6113,0.99315,0,0.435027682643907,-0.21404125812583,0.21664594268855,0.42146,-0.20934,0.221,0.013567682643907,-0.00470125812582986,-0.00435405731145033,0.015004721102468
-0.76999,-0.6113,1.1107,0,0.429880987593381,-0.198524935581199,0.190150516206164,0.41661,-0.1947,0.196,0.013270987593381,-0.0038249355811989,-0.00584948379383576,0.0149988567750459
-0.76999,-0.6113,1.2988,0,0.414959370733927,-0.171851094085765,0.150866833233617,0.40254,-0.16954,0.15895,0.0124193707339268,-0.00231109408576544,-0.0080831667663829,0.0149973167691135
-0.76999,-0.6113,1.3223,0,0.41253704612988,-0.168397362999412,0.146285997435436,0.40025,-0.16628,0.15462,0.0122870461298795,-0.00211736299941198,-0.00833400256456393,0.0149970106159602
-0.76999,-0.6113,1.2929,0,0.415548539360685,-0.172714731898235,0.152029388701948,0.40309,-0.17036,0.16004,0.0124585393606846,-0.0023547318982346,-0.00801061129805225,0.014997661773849
-0.76999,-0.6113,0.99903,0,0.434848409161061,-0.213290625350364,0.215292284053872,0.4213,-0.20863,0.21972,0.013548409161061,-0.00466062535036427,-0.00442771594612756,0.0149961824459284
-0.76999,-0.6113,0.30553,0,0.399481346983936,-0.276039176624021,0.38037970336468,0.38793,-0.26783,0.37546,0.0115513469839359,-0.00820917662402121,0.00491970336467951,0.0150009226110963
-0.76999,-0.6113,0.35254,0,0.40532113502807,-0.273729058564758,0.369622162048523,0.39344,-0.26565,0.36531,0.0118811350280701,-0.00807905856475793,0.00431216204852336,0.0150009099184265
-0.76999,-0.6113,0.41132,0,0.411969104767503,-0.270397501500956,0.355937537217361,0.39971,-0.26251,0.3524,0.0122591047675027,-0.00788750150095574,0.00353753721736094,0.0150004166339605
-0.76999,-0.6113,1.1283,0,0.428829544174456,-0.196116142090202,0.186297658157187,0.41562,-0.19243,0.19236,0.013209544174456,-0.00368614209020157,-0.00606234184281329,0.0149943885979117
-0.76999,-0.6113,1.1283,-0.029468,0.428829544174456,-0.196116142090202,0.186297658157187,0.41562,-0.19243,0.19236,0.013209544174456,-0.00368614209020157,-0.00606234184281329,0.0149943885979117
-0.76999,-0.6113,1.1283,-0.42911,0.428829544174456,-0.196116142090202,0.186297658157187,0.41562,-0.19243,0.19236,0.013209544174456,-0.00368614209020157,-0.00606234184281329,0.0149943885979117
-0.76999,-0.6113,1.1283,-0.42911,0.428829544174456,-0.196116142090202,0.186297658157187,0.41562,-0.19243,0.19236,0.013209544174456,-0.00368614209020157,-0.00606234184281329,0.0149943885979117
-0.76999,-0.6113,1.1283,-0.42911,0.428829544174456,-0.196116142090202,0.186297658157187,0.41562,-0.19243,0.19236,0.013209544174456,-0.00368614209020157,-0.00606234184281329,0.0149943885979117
-0.76999,-0.6113,1.1283,-0.42911,0.428829544174456,-0.196116142090202,0.186297658157187,0.41562,-0.19243,0.19236,0.013209544174456,-0.00368614209020157,-0.00606234184281329,0.0149943885979117
-0.76999,-0.6113,1.1283,-0.42911,0.428829544174456,-0.196116142090202,0.186297658157187,0.41562,-0.19243,0.19236,0.013209544174456,-0.00368614209020157,-0.00606234184281329,0.0149943885979117
-0.76999,-0.6113,1.1283,-0.42911,0.428829544174456,-0.196116142090202,0.186297658157187,0.41562,-0.19243,0.19236,0.013209544174456,-0.00368614209020157,-0.00606234184281329,0.0149943885979117
